brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,os,os_bit,display_size,price,memory,star
DELL,G5,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,89990,512,0
Lenovo,Yoga,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,13.3,78988,512,0
Lenovo,Ideapad,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,55999,512,4.3
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,14,72900,512,0
Lenovo,Thinkpad,Intel,Core i7,10th,16,DDR4,Windows,64,13.3,174527,512,0
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,14,73990,512,0
Lenovo,Thinkpad,Intel,Core i5,10th,8,DDR4,Windows,64,14,125394,1024,4.2
ASUS,ROG,AMD,Ryzen 9,Missing,32,LPDDR4X,Windows,64,13.4,234990,1024,0
ASUS,Vivobook,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,17.3,62990,1280,0
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,48999,1280,4.1
ASUS,Zenbook,Intel,Core i5,11th,16,LPDDR4,Windows,64,13.3,84990,512,0
DELL,Core,Intel,Core i5,11th,16,DDR4,Windows,32,15.6,73519,512,0
Lenovo,Ryzen,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,73138,512,3.9
ASUS,ExpertBook,Intel,Core i7,10th,16,LPDDR3,Windows,64,14,154990,1024,0
HP,Spectre,Intel,Core i5,10th,8,DDR4,Windows,64,13.3,126000,512,4.5
Lenovo,Thinkpad,Intel,Core i7,10th,8,DDR4,Windows,64,13.3,162299,512,0
ASUS,Core,Intel,Core i3,10th,4,DDR4,Windows,32,15.6,33990,1024,0
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,Missing,32,14,69990,512,4.2
LG,Gram,Intel,Core i5,11th,8,DDR4,Windows,64,14,76990,256,0
ASUS,ASUS,Intel,Core i5,11th,16,DDR4,Windows,64,15.6,88990,512,0
ASUS,AMD,AMD,Ryzen 5,Missing,16,DDR4,Windows,64,13.3,80990,512,0
Avita,PURA,AMD,APU Dual,Missing,8,DDR4,Windows,64,14,24990,256,3
DELL,DELL,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,43990,1024,5
HP,HP,Intel,Core i5,11th,16,DDR4,Windows,64,13.5,114999,512,5
DELL,Core,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,43900,256,0
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,Windows,64,14,82990,512,3.7
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,46690,256,5
acer,Intel,Intel,Core i5,11th,8,DDR4,Windows,64,14,109999,512,0
ASUS,ROG,AMD,Ryzen 9,Missing,16,DDR4,Windows,64,15.6,135990,1024,0
ASUS,ExpertBook,Intel,Core i7,10th,16,LPDDR3,Windows,64,14,165990,1024,0
Lenovo,Yoga,Intel,Core i5,11th,16,DDR4,Windows,64,14,82990,512,0
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,Windows,64,14,56990,1024,3.7
Lenovo,Yoga,Intel,Core i7,10th,16,LPDDR4X,Windows,64,14,119990,1024,0
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,14,79990,512,0
Lenovo,Ryzen,AMD,Ryzen 7,Missing,16,DDR4,Windows,32,14,80490,1536,0
DELL,Inspiron,Intel,Core i7,10th,8,DDR4,Windows,64,13.3,109190,512,0
DELL,Inspiron,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,43400,1024,4.5
ASUS,Zenbook,Intel,Core i5,11th,16,LPDDR4X,Windows,64,14,114990,512,0
HP,Spectre,Intel,Core i5,11th,16,LPDDR4X,Windows,64,13.5,129999,512,0
Lenovo,Core,Intel,Core i3,10th,4,DDR4,Windows,32,15.6,40990,256,0
Lenovo,Core,Intel,Core i3,10th,4,DDR4,Missing,64,15,38999,1024,0
HP,15s,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,50990,512,0
DELL,Inspiron,Intel,Core i5,11th,4,DDR4,Windows,64,15.6,58990,1280,0
HP,Pavilion,Intel,Core i7,11th,16,DDR4,Windows,64,14,99999,512,2.5
acer,Aspire,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,61597,1024,4.8
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,Windows,64,15.6,71290,512,0
ASUS,ROG,Intel,Core i7,Missing,,,Missing,32,Missing,146490,0,0
Lenovo,Ideapad,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,74999,1280,4.1
Lenovo,Ryzen,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,106990,512,0
MSI,Prestige,Intel,Core i7,10th,16,DDR4,Windows,64,14,104990,512,0
HP,15s,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,40750,1024,5
DELL,Vostro,Intel,Core i3,11th,4,DDR4,Windows,64,14,39990,1280,3.8
ASUS,Pro,Intel,Core i5,8th,8,DDR4,Windows,64,14,81990,1024,0
ASUS,ExpertBook,Intel,Core i7,10th,16,LPDDR3,Windows,64,14,167990,1024,4.3
ASUS,Ryzen,AMD,Ryzen 7,Missing,8,DDR4,Windows,32,15.6,79990,512,4.1
DELL,Inspiron,Intel,Core i5,10th,8,DDR4,Windows,64,14,79500,512,0
ASUS,ExpertBook,Intel,Core i7,10th,8,DDR4,Windows,64,14,93990,1024,0
DELL,Inspiron,Intel,Core i5,10th,8,DDR4,Windows,64,14,82990,512,0
ASUS,ROG,AMD,Ryzen 9,Missing,16,DDR4,Windows,64,14,144990,1024,3
ASUS,ExpertBook,Intel,Core i5,10th,4,DDR4,Windows,64,14,61249,1024,4.3
DELL,Inspiron,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,43000,1024,0
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,70980,512,4
acer,Aspire,AMD,Athlon Dual,Missing,4,DDR4,Windows,64,15.6,31990,256,4.8
ASUS,Core,Intel,Core i7,11th,16,LPDDR4X,Windows,64,13.3,109990,512,4.1
ASUS,Zenbook,Intel,Core i7,8th,16,DDR3,Windows,64,13.3,99990,512,3.9
iball,CompBook,Intel,Pentium Quad,Missing,4,DDR3,Windows,64,Missing,13990,0,0
ASUS,Zenbook,Intel,Core i5,11th,8,LPDDR4X,Windows,64,14,99990,512,0
ASUS,Pro,Intel,Core i7,8th,8,DDR4,Windows,64,14,98912,1280,0
HP,Core,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,48900,512,4.3
HP,Spectre,Intel,Core i5,8th,8,DDR4,Windows,64,13.3,136590,256,0
Lenovo,Core,Intel,Core i7,8th,16,DDR4,Windows,64,14,244801,512,3.7
DELL,Inspiron,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,39990,256,0
Lenovo,Ideapad,AMD,Ryzen 5,Missing,8,DDR4,Windows,32,15.6,59900,512,0
HP,430,Intel,Core i5,11th,8,DDR4,Windows,32,13.3,94000,512,4.1
Lenovo,Ideapad,Intel,Core i5,Missing,,,Missing,32,Missing,46990,0,4.4
ASUS,ExpertBook,Intel,Core i7,10th,16,LPDDR3,Windows,64,14,233990,2048,4.2
HP,Spectre,Intel,Core i7,11th,16,LPDDR4X,Windows,64,13.5,165000,1024,0
DELL,Core,Intel,Core i5,11th,16,DDR4,Windows,64,14,82990,512,4.3
DELL,Inspiron,Intel,Core i7,8th,8,DDR4,Windows,64,13.3,87990,256,3.8
ASUS,Zenbook,Intel,Core i7,11th,16,LPDDR4X,Windows,64,13.3,94990,512,0
MSI,Prestige,Intel,Core i5,11th,16,LPDDR4X,Windows,64,14,79990,512,0
Avita,PURA,AMD,APU Dual,Missing,4,DDR4,Windows,64,14,19990,128,4.3
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,14,52990,1280,0
Lenovo,Ideapad,Intel,Core i7,8th,8,DDR4,Windows,64,13.3,86000,512,0
ASUS,Pro,Intel,Core i5,8th,8,DDR4,Windows,64,14,85990,512,4
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,Windows,64,14,86990,512,3.7
ASUS,Zenbook,Intel,Core i5,10th,8,LPDDR3,Windows,64,14,105990,512,0
ASUS,Vivo,Intel,Core i3,10th,4,DDR4,Windows,64,15.6,38000,1024,4.2
Lenovo,Core,Intel,Core i7,10th,16,DDR4,Windows,32,12,162399,512,0
Lenovo,V15,Intel,Core i3,11th,4,DDR4,Windows,64,15.6,43990,256,0
ASUS,Ryzen,AMD,Ryzen 9,Missing,8,DDR4,Windows,64,14,149990,1024,4.4
DELL,Inspiron,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,14,89570,512,4.1
HP,15s,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,54590,512,0
ASUS,Vivobook,Intel,Core i3,10th,4,DDR4,Windows,64,14,40990,512,4.9
ASUS,ExpertBook,Intel,Core i5,10th,8,LPDDR3,Windows,64,14,84990,512,3.7
ASUS,Vivobook,Intel,Core i3,11th,4,DDR4,Windows,64,14,36990,256,4.4
ASUS,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,75100,1280,0
Lenovo,Ideapad,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,59999,512,0
DELL,Core,Intel,Core i5,11th,8,DDR4,Windows,32,14,58990,1024,0
HP,Core,Intel,Core i7,11th,8,DDR4,Windows,32,14,119599,512,5
DELL,Inspiron,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,14,75500,512,4.7
DELL,Vostro,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,41790,512,0
Lenovo,Yoga,Intel,Core i5,11th,16,DDR4,Windows,64,14,91999,512,0
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,Windows,64,14,57999,512,0
Lenovo,Core,Intel,Core i7,10th,16,LPDDR3,Windows,64,14,211753,512,0
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,68900,1280,4.4
Lenovo,APU,AMD,APU Dual,Missing,4,DDR4,Missing,64,14,21896,1024,4.4
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,Windows,64,14,78900,512,0
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,Windows,64,14,83990,1024,4.5
ASUS,ExpertBook,Intel,Core i5,10th,8,LPDDR3,Windows,64,14,132790,512,0
ASUS,Ryzen,AMD,Ryzen 9,Missing,16,DDR4,Windows,64,14,142990,1024,4.4
HP,15s,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,15.6,68500,512,0
Avita,PURA,AMD,APU Dual,Missing,4,DDR4,Windows,64,14,21490,128,0
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,51890,512,4.4
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,Missing,32,14,58799,1024,0
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,Windows,64,14.96,37990,1024,0
HP,APU,AMD,APU Dual,Missing,4,DDR4,Missing,32,14,20900,1024,4.6
Nokia,PureBook,Intel,Core i5,11th,16,DDR4,Windows,64,14,55990,512,3.4
Lenovo,Core,Intel,Core i5,10th,4,DDR4,Missing,32,14,49999,1024,0
HP,Chromebook,MediaTek,MediaTek Kompanio,Missing,4,LPDDR4X,Missing,32,Missing,22490,0,5
ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,Missing,64,Missing,18990,0,3.9
HP,Chromebook,MediaTek,MediaTek Kompanio,Missing,4,LPDDR4X,Missing,32,Missing,22990,0,3.6
DELL,Core,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,48500,256,0
ASUS,Vivobook,AMD,Ryzen 5,Missing,16,DDR4,Windows,64,17.3,78000,512,0
DELL,Inspiron,Intel,Core i5,11th,8,LPDDR4X,Windows,64,13.3,74190,1024,0
HP,250-G6,Intel,Core i5,7th,4,DDR4,Missing,32,15.6,46200,1024,4.5
HP,Pavilion,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,64990,1024,3.7
HP,14a,Intel,Celeron Dual,Missing,4,DDR4,Missing,64,Missing,26470,0,4.4
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,60990,512,4.3
Lenovo,Ideapad,Intel,Celeron Dual,Missing,4,LPDDR4X,Missing,64,Missing,25990,0,0
Lenovo,Intel,Intel,Core i7,11th,16,DDR4,Windows,32,14,110999,512,3.7
Avita,PURA,AMD,APU Dual,Missing,8,DDR4,Windows,64,14,24990,256,3.9
ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,Missing,32,Missing,17990,0,4.1
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,71695,1280,0
Avita,Liber,Intel,Core i5,7th,8,DDR4,Windows,64,13.3,65556,512,3.8
HP,Chromebook,Intel,Celeron Dual,Missing,4,DDR4,Missing,64,Missing,27990,0,3.6
HP,DA,Intel,Core i3,7th,8,DDR4,Windows,64,15.6,49279,1024,3.8
Avita,Cosmos,Intel,Celeron Dual,Missing,4,DDR4,Windows,64,Missing,17490,0,0
ASUS,ASUS,Intel,Core i9,11th,16,DDR4,Windows,64,15.6,139990,1024,2.7
Avita,Liber,Intel,Core i7,10th,16,DDR4,Windows,64,14,62990,1024,4.5
HP,Athlon,AMD,Athlon Dual,Missing,32,DDR4,Missing,32,14,26899,32,4.2
Lenovo,Thinkbook,Intel,Core i7,11th,16,LPDDR4,Windows,64,13,85990,1024,4.3
Lenovo,Core,Intel,Core i3,10th,8,DDR4,Windows,32,15.6,38999,1024,3.6
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,Windows,64,15.6,70190,512,3.9
Vaio,E,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,50990,512,3.7
DELL,Core,Intel,Core i5,11th,8,DDR4,Windows,64,14,79590,512,0
HP,Pavilion,AMD,Ryzen 5,Missing,16,DDR4,Windows,64,14,59999,512,3.7
HP,15q,AMD,Ryzen 3,Missing,4,DDR4,Windows,64,15.6,32917,1024,3.6
Avita,Liber,Intel,Core i5,7th,8,DDR4,Windows,64,13.3,65556,512,4.2
ASUS,TUF,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,76990,512,0
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,48990,256,3.8
HP,HP,Intel,Core i7,11th,16,DDR4,Windows,64,13.3,94990,1024,4.5
Nokia,PureBook,Intel,Core i5,11th,8,DDR4,Windows,64,14,52790,512,3.6
DELL,Core,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,99990,512,0
HP,OMEN,Intel,Core i7,11th,16,DDR4,Windows,64,16.1,136990,1024,3.9
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,45930,512,0
Lenovo,Ideapad,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,14,73400,512,3.4
HP,Pavilion,Intel,Core i3,11th,8,DDR4,Windows,64,14,55490,512,3.6
Avita,Liber,Intel,Core i5,7th,8,DDR4,Windows,64,13.3,65556,512,3.5
acer,Swift,Intel,Core i7,Missing,,,Missing,32,Missing,94190,0,4.1
Vaio,E,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,15.6,57990,512,0
Lenovo,Legion,Intel,Core i7,10th,16,DDR4,Windows,64,15.6,234990,1024,4.1
HP,x360,Intel,Core i3,11th,8,DDR4,Missing,64,14,56490,256,4
Avita,Liber,Intel,Core i5,8th,8,DDR4,Windows,64,14,44990,512,0
ASUS,Intel,Intel,Core i5,11th,8,DDR4,Windows,64,13.3,84990,512,4
ASUS,Ryzen,AMD,Ryzen 7,Missing,16,LPDDR4X,Windows,64,13.3,84970,1024,0
HP,15q,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,46790,1024,0
Smartron,t.book,Intel,Core i5,7th,4,DDR3,Windows,64,12.2,52990,128,0
DELL,Inspiron,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,42090,512,4
HP,Pavilion,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,64990,512,0
ASUS,EeeBook,Intel,Celeron Dual,Missing,4,DDR4,Windows,64,Missing,22990,0,0
HP,Pavilion,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,14,79990,512,0
Lenovo,Ideapad,Intel,Core i5,10th,8,DDR4,Windows,64,14,86999,512,0
HP,Pavilion,Intel,Core i3,8th,4,DDR4,Windows,64,14,54238,256,4.3
HP,Pavilion,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,84990,512,0
HP,Core,Intel,Core i5,7th,4,DDR4,Windows,64,15.6,44599,1024,4.3
ASUS,Core,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,41500,1024,3.8
ASUS,Zenbook,Intel,Core i7,8th,8,LPDDR3,Windows,64,13.3,81990,512,0
acer,Core,Intel,Core i3,11th,4,DDR4,Windows,32,15.6,36999,1024,0
HP,Pavilion,Intel,Core i5,11th,16,DDR4,Windows,64,15.6,78000,512,3.4
DELL,Core,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,42900,1024,3.9
Lenovo,Thinkbook,Intel,Core i5,11th,8,DDR4,Windows,64,13.3,64990,1024,3
ASUS,ExpertBook,Intel,Core i3,10th,4,DDR4,Missing,64,15.6,34649,1024,4.2
Avita,Liber,Intel,Core i5,8th,8,DDR4,Windows,64,14,73063,512,3.9
Avita,Liber,Intel,Core i5,8th,8,DDR4,Windows,64,14,73063,512,3.3
DELL,Inspiron,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,62317,2048,3.8
HP,HP,Intel,Core i5,11th,16,DDR4,Windows,64,14,100990,512,0
Lenovo,Ideapad,Intel,Core i5,8th,8,DDR4,Windows,64,13.3,74990,512,3.5
ASUS,ROG,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,75990,512,4.7
acer,Swift,Intel,Core i5,8th,8,DDR4,Windows,64,13.3,59490,256,4.4
ASUS,Vivobook14,Intel,Core i5,11th,8,DDR4,Windows,64,14.1,49800,256,4.6
Lenovo,Core,Intel,Core i9,10th,16,DDR4,Windows,32,15.6,265998,1024,2.8
DELL,Inspiron,Intel,Pentium Quad,Missing,4,DDR4,Windows,64,15.6,35990,256,4.1
MSI,GF63,Intel,Core i7,9th,8,DDR4,Windows,64,15.6,66990,512,3
Lenovo,Ideapad,Intel,Celeron Dual,Missing,4,LPDDR4,Missing,32,Missing,16990,0,4.3
Lenovo,Core,Intel,Core i5,11th,8,DDR4,Windows,32,15.6,84086,512,0
DELL,Insprion,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,41480,1024,4.4
ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,32990,1024,0
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,61999,256,3
acer,Swift,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,72964,1024,2.3
Avita,Liber,Intel,Core i7,8th,8,DDR4,Windows,64,14,73990,256,3.4
Avita,Liber,Intel,Core i7,8th,8,DDR4,Windows,64,14,73990,256,3.4
Avita,Liber,Intel,Core i7,8th,8,DDR4,Windows,64,14,73990,256,3.5
Avita,Liber,Intel,Core i7,8th,8,DDR4,Windows,64,14,73990,256,4
Avita,Liber,Intel,Core i7,8th,8,DDR4,Windows,64,14,73990,256,0
Lenovo,Ideapad,Intel,Celeron Dual,Missing,4,LPDDR4,Missing,32,Missing,24990,0,3.3
Avita,Liber,Intel,Core i7,8th,8,DDR4,Windows,64,14,73990,256,4.6
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,38680,1024,3.5
acer,Chromebook,Intel,Celeron Dual,Missing,4,DDR4,Missing,32,Missing,23990,0,0
Lenovo,Celeron,Intel,Celeron Dual,Missing,4,DDR4,Missing,32,15.6,29999,1024,0
Lenovo,Ryzen,AMD,Ryzen 3,Missing,4,DDR4,Windows,64,15.6,34990,1024,0
HP,250,Intel,Core i5,10th,8,DDR4,Windows,32,15.6,48790,1024,4.5
acer,Aspire,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,56491,1024,3.4
HP,15q,Intel,Core i3,7th,4,DDR4,Missing,64,15.6,32955,1024,3.5
DELL,Inspiron,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,14.96,39990,1024,3.8
acer,Travelmate,Intel,Core i5,11th,16,DDR4,Windows,64,14,62490,1280,2
APPLE,MacBook,Apple,M1 Processor,Missing,8,DDR4,Mac,64,13.3,104990,512,2.8
DELL,Core,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,46390,1280,4.2
DELL,Core,Intel,Core i3,10th,8,DDR4,Windows,64,14.96,40390,1024,0
HP,Pavilion,Intel,Core i5,8th,8,DDR4,Windows,64,13.3,76012,128,0
ASUS,Vivobook,Intel,Core i3,10th,4,DDR4,Windows,64,14.1,33990,1024,0
Lenovo,V15,Intel,Core i3,10th,4,DDR4,Missing,64,15.6,39999,1024,0
